Sample_ID,Series,Cell_Type,Condition,Virus,Library_Size
Series7_Calu3_Mock_3,Series7,Calu3,Mock,None,28888715
Series7_Calu3_SARS-CoV-2_1,Series7,Calu3,Infected,SARS-CoV-2,15062604
Series7_Calu3_SARS-CoV-2_2,Series7,Calu3,Infected,SARS-CoV-2,8161561
Series7_Calu3_SARS-CoV-2_3,Series7,Calu3,Infected,SARS-CoV-2,15541675
Series8_A549_Mock_1,Series8,A549,Mock,None,4177119
Series8_A549_Mock_2,Series8,A549,Mock,None,4846404
Series8_A549_Mock_3,Series8,A549,Mock,None,8290552
Series8_A549_RSV_1,Series8,A549,Infected,RSV,11774764
Series8_A549_RSV_2,Series8,A549,Infected,RSV,5969451
Series8_A549_RSV_3,Series8,A549,Infected,RSV,10487721
Series8_A549_HPIV3_3,Series8,A549,Infected,HPIV3,12202170
Series8_A549_HPIV3_2,Series8,A549,Infected,HPIV3,10231357
Series8_A549_HPIV3_1,Series8,A549,Infected,HPIV3,13804943
Series9_NHBE_Mock_1,Series9,NHBE,Mock,None,4806787
Series9_NHBE_Mock_2,Series9,NHBE,Mock,None,4944794
Series9_NHBE_Mock_3,Series9,NHBE,Mock,None,6199093
Series9_NHBE_Mock_4,Series9,NHBE,Mock,None,11747156
Series9_NHBE_IAV_1,Series9,NHBE,Infected,IAV,25824685
Series9_NHBE_IAV_2,Series9,NHBE,Infected,IAV,5997067
Series9_NHBE_IAV_3,Series9,NHBE,Infected,IAV,6605244
Series9_NHBE_IAV_4,Series9,NHBE,Infected,IAV,3388871
Series9_NHBE_IAVdNS1_1,Series9,NHBE,Infected,IAV,10831217
Series9_NHBE_IAVdNS1_2,Series9,NHBE,Infected,IAV,6605343
Series9_NHBE_IAVdNS1_3,Series9,NHBE,Infected,IAV,8881250
Series9_NHBE_IAVdNS1_4,Series9,NHBE,Infected,IAV,13451075
Series9_NHBE_IFNB_4h_1,Series9,NHBE,IFNB_treated,None,13319907
Series9_NHBE_IFNB_4h_2,Series9,NHBE,IFNB_treated,None,12407157
Series9_NHBE_IFNB_6h_1,Series9,NHBE,IFNB_treated,None,9445008
Series9_NHBE_IFNB_6h_2,Series9,NHBE,IFNB_treated,None,8873735
Series9_NHBE_IFNB_12h_1,Series9,NHBE,IFNB_treated,None,8793772
Series9_NHBE_IFNB_12h_2,Series9,NHBE,IFNB_treated,None,8853467
Series15_HealthyLungBiopsy_2,Series15,LungBiopsy,Healthy_patient,None,16660521
Series15_HealthyLungBiopsy_1,Series15,LungBiopsy,Healthy_patient,None,30716754
Series15_COVID19Lung_2,Series15,LungBiopsy,COVID19_patient,SARS-CoV-2,1203024
Series15_COVID19Lung_1,Series15,LungBiopsy,COVID19_patient,SARS-CoV-2,76756
Series16_A549-ACE2_Mock_1,Series16,A549-ACE2,Mock,None,2182351
Series16_A549-ACE2_Mock_2,Series16,A549-ACE2,Mock,None,10394495
Series16_A549-ACE2_Mock_3,Series16,A549-ACE2,Mock,None,8413344
Series16_A549-ACE2_SARS-CoV-2_1,Series16,A549-ACE2,Infected,SARS-CoV-2,3082335
Series16_A549-ACE2_SARS-CoV-2_2,Series16,A549-ACE2,Infected,SARS-CoV-2,3330850
Series16_A549-ACE2_SARS-CoV-2_3,Series16,A549-ACE2,Infected,SARS-CoV-2,3322856
Series16_A549-ACE2_SARS-CoV-2_Rux_1,Series16,A549-ACE2,Infected_Rux,SARS-CoV-2,4517875
Series16_A549-ACE2_SARS-CoV-2_Rux_2,Series16,A549-ACE2,Infected_Rux,SARS-CoV-2,4455727
Series16_A549-ACE2_SARS-CoV-2_Rux_3,Series16,A549-ACE2,Infected_Rux,SARS-CoV-2,3338454
