Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
I-kappaB kinase/NF-kappaB Signaling (GO:0007249),1.0101348728007831e-07,1.9642531753826138e-05,13.763342696629213,221.700086449052,NFKBIA;IRAK2;BCL3;REL;BCL10;NFKB1;RELB;NFKB2;BIRC3
Response To Lipopolysaccharide (GO:0032496),2.3421838304237483e-07,4.053454998850333e-05,5.800892857142857,88.5623002570793,TNFAIP3;BCL10;NR1D1;TICAM1;CXCL3;SELE;CXCL2;NFKB1;IL1A;ZFP36;IL6;ZC3H12A;CCL2;IL12A;JAK2
Cellular Response To Cytokine Stimulus (GO:0071345),2.6111631249507134e-07,4.053454998850333e-05,4.115428247305729,62.382895536704,GBP5;EGR1;CSF3;PNPT1;DUSP1;CCL20;IFNB1;STAT1;NR1D1;NFKB1;EREG;NFKBIA;IL1A;ZFP36;IL6;SOCS1;IRF1;ZC3H12A;CCL2;JAK2;NKX3-1
Regulation Of p38MAPK Cascade (GO:1900744),2.7716398788466163e-07,4.053454998850333e-05,15.150004829518014,228.74471877161236,CYLD;PER1;BMP2;GADD45B;DUSP1;GADD45A;ZC3H12A;RASGRP1
Cytokine-Mediated Signaling Pathway (GO:0019221),2.8425350623073864e-07,4.053454998850333e-05,4.47543352601156,67.45999688862773,EGR1;CSF3;CCL20;IFNB1;STAT1;TRAF1;CXCL3;TNF;CXCL2;EREG;NFKBIA;IL1A;IL6;SOCS1;IRAK2;CCL2;IL12A;JAK2;BIRC3
Cellular Response To Lipopolysaccharide (GO:0071222),4.4532138942366256e-07,5.953390324857589e-05,6.496007371007371,95.0006622669263,TNFAIP3;BCL10;NR1D1;TICAM1;CXCL3;TNF;CXCL2;NFKB1;IL1A;ZFP36;IL6;ZC3H12A;CCL2
Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),6.171954882133631e-07,7.765771466402257e-05,10.765815828041037,153.93049626067324,IL6;IFNL1;IL23A;LIF;IL12A;HES1;JAK2;PARP14;TNF
Cellular Response To Molecule Of Bacterial Origin (GO:0071219),1.56494501968039e-06,0.00018596763317201966,6.3229461756373935,84.52299382557986,IL1A;ZFP36;IL6;ZC3H12A;TNFAIP3;CCL2;BCL10;NR1D1;TICAM1;CXCL3;CXCL2;NFKB1
Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235),1.759895674733344e-06,0.000198127202539717,9.340576637693449,123.76503188356254,CYLD;IFNB1;DDIT3;PMAIP1;LTB;BCL10;TNF;BBC3;NKX3-1
Cellular Response To Tumor Necrosis Factor (GO:0071356),1.87526039653608e-06,0.00020055909940953375,6.204124857695057,81.81232430715575,NFKBIA;ZFP36;CCL20;STAT1;ZC3H12A;CCL2;NR1D1;TRAF1;JAK2;TNF;NKX3-1;BIRC3
Negative Regulation Of Cell Population Proliferation (GO:0008285),2.0413308155492097e-06,0.0002079241244980838,3.4635568513119535,45.37920530454952,KLF10;KLF11;BTG1;CDKN1B;NOG;TNFAIP3;PROX1;DLL1;IFIT3;RERG;EREG;PER2;IL1A;IL6;BMP2;IFNL1;IRF1;HES1;IL12A;MDM4;JAK2;NKX3-1
Cellular Response To Virus (GO:0098586),2.313757744223e-06,0.00022496035522240896,9.0,116.78973863418297,IFNL2;IL6;IFNL1;IFNB1;ZC3H12A;IL12A;JAK2;POU2F2;IFNL3
Interferon-Mediated Signaling Pathway (GO:0140888),2.6750024507139764e-06,0.0002487752279163998,10.709298353487737,137.41700718075333,IFNL2;IFNL1;IFNB1;STAT1;IRF1;STAT2;JAK2;IFNL3
Positive Regulation Of Protein Metabolic Process (GO:0051247),3.350685081485953e-06,0.00029862980788743557,4.606314127861089,58.068788441862026,CDKN1B;CSF1;TIPARP;TNFAIP3;BCL10;KLF4;TNF;RASGRP1;FOXO1;NFKBIA;IL6;IL23A;BCL3;ASB9;CPEB3
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),3.6025041290803663e-06,0.00030823025328411617,5.295099431818182,66.36814808318192,NLRC5;TNFAIP3;PROX1;KLF4;NFKBIA;CYLD;IRAK2;DDIT3;ZC3H12A;BCL3;PIM1;HES1;NFKBIE
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),3.848451621013753e-06,0.0003166091545134007,3.1285434995112413,39.006178742888615,KLF10;JUN;CDKN1B;BHLHE41;ZBTB21;NR1D1;PROX1;RBPJ;KLF4;TNF;FOXO1;EREG;PER2;PER1;BMP2;IFNL1;SIX4;IRF1;DDIT3;BCL3;EPC1;HES1;MDM4;NKX3-1
Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046425),4.933661924686695e-06,0.00039085566136684596,9.755368814192344,119.20503719598776,SOCS3;IL6;IFNL1;SOCS1;BCL3;HES1;JAK2;TNF
Negative Regulation Of Cytokine Production (GO:0001818),5.175967351529172e-06,0.00039540693446146063,4.735494406226113,57.63799585813364,TNFAIP3;KLF4;TNF;DLL1;CLEC4A;CYLD;ZFP36;IL6;IFNL1;IL23A;DDIT3;ZC3H12A;BCL3;IL12A
Regulation Of Smooth Muscle Cell Proliferation (GO:0048660),5.700469543453999e-06,0.0004204587708085553,9.542808427718914,115.22904923791724,BMP2;IL6;NR4A3;STAT1;TNFAIP3;IL12A;TNF;EREG
Positive Regulation Of Cytokine Production (GO:0001819),7.398843952260378e-06,0.0005210614726348388,3.527221400725904,41.671252487122686,GBP5;EGR1;BCL10;PTGS2;TICAM1;POU2F2;TNF;RASGRP1;EREG;IL1A;IL6;IFNL1;IL23A;DDIT3;IRF1;IRF7;IL12A;LTB;JAK2
Inflammatory Response (GO:0006954),7.5516155454324465e-06,0.0005210614726348388,4.045845272206304,47.715683787247855,AOC3;CCL20;FOS;CXCL3;TNF;SELE;CXCL2;NFKB1;RELB;NFKB2;IL1A;BMP2;IL6;IRAK2;REL;CCL2
Regulation Of Gene Expression (GO:0010468),9.144463855844029e-06,0.0006112502558640743,2.2231099570558275,25.79332627607377,ZNF430;BTG1;CSF1;ZBTB20;RBPJ;DLL1;TNF;ZNF280B;ZC3H12A;MIER1;NFKBIZ;AGR2;ZNF488;TRIM22;NKX3-1;KDM6B;EGR1;ZNF460;TIPARP;NOG;PROX1;HCFC2;PARP14;TICAM1;FOXN2;KLF4;MED26;CLK4;NFKB1;NFKB2;THAP1;CLK1;IL1A;PER1;IL6;BMP2;ZBTB6;DDIT3;FGF18;REL;SPRY2;NFKBID
Regulation Of Cell Cycle (GO:0051726),1.0186183291503898e-05,0.0006583462442022884,3.585734870317003,41.216151782666564,PPP1R15A;JUN;CDKN1B;INO80D;PNPT1;GADD45B;GADD45A;PROX1;THAP1;PER2;CYLD;NR4A1;BMP2;IRF1;EPC1;PIM3;JUNB;BIRC3
Positive Regulation Of Apoptotic Process (GO:0043065),1.046459668203731e-05,0.0006583462442022884,3.7423788105947025,42.915776697791145,KLF11;JUN;TNFAIP8;BTG1;GADD45B;GADD45A;IFNB1;BCL10;TNF;FOXO1;IFIT2;BMP2;IL6;DDIT3;ZC3H12A;PMAIP1;NKX3-1
Positive Regulation Of miRNA Transcription (GO:1902895),1.1650784826352946e-05,0.0007120293926733987,10.645018621973929,120.9288700531858,FOSL1;EGR1;NGFR;JUN;FOS;KLF4;TNF
Positive Regulation Of Natural Killer Cell Activation (GO:0032816),1.3876859361557742e-05,0.0008245167270658891,20.963675213675213,234.4847426917447,IL23A;IL12A;HLA-F;TICAM1;JAK2
Negative Regulation Of Viral Process (GO:0048525),1.4438284865484664e-05,0.000834688954791127,8.279477828867396,92.2799733589689,ZFP36;ZNFX1;IFNB1;STAT1;IFIT5;PROX1;TNF;IFNL3
Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088),1.6692920738283833e-05,0.00093963572261024,6.869030898876405,75.56295187345425,NFKBIA;CYLD;IRAK2;DDIT3;ZC3H12A;BCL3;NLRC5;TNFAIP3;KLF4
Cellular Response To Oxygen-Containing Compound (GO:1901701),2.017961990868998e-05,0.0011067745380689198,3.052325581395349,32.99819548598708,EGR1;JUN;CDKN1B;TNFAIP3;NR1D1;BCL10;FOS;TICAM1;CXCL3;CXCL2;FOXO1;NFKB1;SLC5A5;IL1A;ZFP36;IL6;NR4A3;ZC3H12A;ABL2;CCL2;CPEB3
Cellular Response To Lipid (GO:0071396),2.0701282982032447e-05,0.0011070011074641852,3.90784708249497,42.147361286836684,TNFAIP3;BCL10;NR1D1;TICAM1;CXCL3;CXCL2;NFKB1;SLC5A5;IL1A;ZFP36;IL6;ZC3H12A;ABL2;CCL2;NKX3-1
NIK/NF-kappaB Signaling (GO:0038061),2.1511303454457378e-05,0.0011222604411971788,12.604885365331048,135.46384612745217,NFKBIA;REL;NFKB1;RELB;NFKB2;BIRC3
Negative Regulation Of Multicellular Organismal Process (GO:0051241),2.4124565070133302e-05,0.0012286296353575031,3.8529761904761903,40.96592145576343,FOXC2;DLX2;GDF15;ARRDC3;ARID4B;NR1D1;RBPJ;TNF;CLEC4A;EFNA1;BMP2;DDIT3;SPRY2;SPRY1;NKX3-1
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),2.5371890740393823e-05,0.001262104053341916,3.8350230414746544,40.58171013490789,STAT1;IFIT5;TNFAIP3;BCL10;NR1D1;TRAF1;TICAM1;TNF;PER1;ZC3H12A;MIER1;REL;LTB;TRIM22;BIRC3
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),2.6946609838099597e-05,0.00130997269190216,5.096045197740113,53.618819564124834,EFNA1;CSF3;IL6;IFNL1;IL23A;LIF;IL12A;HES1;PARP14;JAK2;TNF
Regulation Of Lipid Storage (GO:0010883),3.1504583318757556e-05,0.0014498718591238037,17.030381944444443,176.52633817305806,NFKBIA;IL6;ZC3H12A;TNF;NFKB1
Regulation Of Cell Population Proliferation (GO:0042127),3.1772999972863106e-05,0.0014498718591238037,2.3866552609067577,24.718334803032956,CSF3;BTG1;CDKN1B;CSF1;DLL1;IFIT3;RERG;IFNL1;SIX4;HES1;JAK2;JUNB;NKX3-1;KLF10;KLF11;JUN;EGR4;STAT1;STAT2;LIF;PROX1;EREG;FOSL1;IL1A;IL6;BMP2;MEIS1;NR4A3;IRF1;FGF18;MDM4
Regulation Of T-helper 17 Cell Differentiation (GO:2000319),3.253569389338129e-05,0.0014498718591238037,31.069252077562325,321.04395041111576,NFKBIZ;ZC3H12A;JUNB;NFKBID
Regulation Of Astrocyte Differentiation (GO:0048710),3.253569389338129e-05,0.0014498718591238037,31.069252077562325,321.04395041111576,BMP2;IL6;NOG;HES1
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),3.645763528722464e-05,0.0015914873852933369,2.6402863777089784,26.98203606896337,FOXC2;INO80D;BCL10;TNF;FOXO1;IFNL1;SIX4;EPC1;NKX3-1;EGR1;EGR2;JUN;DTX3L;STAT1;NR1D1;FOS;KLF4;NFKB1;IL6;BMP2;KLF6;IRF1;DDIT3;BCL3;IRF7
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),4.418298562425032e-05,0.0018901481250054287,3.0703694395576777,30.78711873924357,EGR1;CSF1;DTX3L;NOG;RBPJ;TICAM1;KLF4;MED26;TNF;DLL1;NFKBIA;IL1A;BMP2;IL6;ZC3H12A;FGF18;AGR2;SPRY2;NKX3-1
Negative Regulation Of Viral Genome Replication (GO:0045071),4.765918904901211e-05,0.0019988824583497427,8.326633470974011,82.86195260267367,APOBEC3D;ZNFX1;IFNB1;IFIT5;PROX1;TNF;IFNL3
Regulation Of Defense Response To Virus By Host (GO:0050691),5.110160713465641e-05,0.002102044955019809,10.56914367867733,104.44105012690187,DTX3L;STAT1;IL23A;ZC3H12A;TNFAIP3;TRIM22
Negative Regulation Of Cellular Process (GO:0048523),5.578396971641955e-05,0.002251356815536253,2.6234501209034318,25.694133475573597,KLF10;APOBEC3D;KLF11;BTG1;CDKN1B;DUSP1;PROX1;DLL1;IFIT3;RERG;EREG;RND1;IL1A;NR4A1;IL6;BMP2;IFNL1;SERTAD2;IRF1;SPOCK3;AGR2;MDM4;JAK2;NKX3-1
Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0033209),5.9757926902840056e-05,0.0023670778823180537,10.238335654596101,99.56995106475696,NFKBIA;STAT1;TRAF1;JAK2;TNF;BIRC3
Positive Regulation Of T-helper 17 Type Immune Response (GO:2000318),6.848157189592823e-05,0.0026633105870071,24.162511542012926,231.6930153153428,IL23A;NFKBIZ;JAK2;NFKBID
Apoptotic Process (GO:0006915),8.21022339197734e-05,0.0031360121134713444,3.6197513113400963,34.05297455248568,PPP1R15A;NGFR;CSRNP1;TNFSF14;GADD45A;FOXO1;IFIT2;BBC3;NFKBIA;IL1A;IRF1;PMAIP1;JAK2;IER3
Regulation Of miRNA Transcription (GO:1902893),9.604528255437416e-05,0.003604225603224673,7.363611946712505,68.11849717560155,FOSL1;EGR1;NGFR;JUN;FOS;KLF4;TNF
Regulation Of Apoptotic Process (GO:0042981),0.00010615238461411728,0.003884595527801332,2.3266549491779496,21.29036999099561,TNFAIP8;BCL10;TNF;IFIT3;FOXO1;IFIT2;SOCS3;SIX4;PIM1;EPC1;ABL2;PMAIP1;PIM3;IER3;EGR1;KLF11;JUN;EGR3;GADD45B;ACTN2;GADD45A;STAT1;NFKB1;IL6;BMP2;BCL3;SPRY2;BIRC3
Positive Regulation Of Intracellular Signal Transduction (GO:1902533),0.00010714873124837709,0.003884595527801332,2.5631916777335104,23.430885313431173,CSF3;TNFSF14;GDF15;ARRDC3;IFIT5;LIF;BCL10;TICAM1;TNF;BBC3;IL6;BMP2;IL23A;DDIT3;MIER1;REL;PMAIP1;SPRY2;LTB;JAK2;TRIM22;NKX3-1;BIRC3
Cellular Response To Interleukin-1 (GO:0071347),0.00011491981757029787,0.003929743473247641,6.004988296688539,54.47290568341314,EGR1;IRAK2;CCL20;ZC3H12A;CCL2;NR1D1;NFKB1;NKX3-1
Nose Development (GO:0043584),0.00011574279514474119,0.003929743473247641,54.232044198895025,491.56684717381296,SMCHD1;SIX4;PROX1
Positive Regulation Of T-helper 17 Cell Differentiation (GO:2000321),0.00011574279514474119,0.003929743473247641,54.232044198895025,491.56684717381296,IL23A;NFKBIZ;NFKBID
Regulation Of MHC Class I Biosynthetic Process (GO:0045343),0.00011574279514474119,0.003929743473247641,54.232044198895025,491.56684717381296,IFNL1;IFNB1;NLRC5
Fat Cell Differentiation (GO:0045444),0.0001321276962239385,0.004415955347234444,6.960893854748603,62.17290596301693,NR4A2;PER2;NR4A1;EGR2;NR4A3;KLF4;FOXO1
Positive Regulation Of Defense Response To Virus By Host (GO:0002230),0.0001369936316545839,0.004508144278602385,11.842995169082126,105.3502649856327,DTX3L;STAT1;IL23A;ZC3H12A;TRIM22
Regulation Of Inflammatory Response (GO:0050727),0.0001412594366726086,0.004578089924889542,3.4254342838413634,30.366174796099234,TNFAIP3;NR1D1;PTGS2;KLF4;TNF;SELE;USP18;NFKBIA;CYLD;IL6;IL23A;NFKBIZ;JAK2;BIRC3
Regulation Of Apoptotic Signaling Pathway (GO:2001233),0.00015835236309614127,0.00495879829800988,8.39768587958003,73.48552789402063,NR4A2;CYLD;IFNB1;TRAF1;TNF;NKX3-1
Response To Interleukin-1 (GO:0070555),0.00016142361473932417,0.00495879829800988,5.69187675070028,49.698499478735414,IRAK2;CCL20;ZC3H12A;CCL2;NR1D1;SELE;NFKB1;NKX3-1
Response To Tumor Necrosis Factor (GO:0034612),0.0001626378457926638,0.00495879829800988,4.98876404494382,43.521900870647485,NFKBIA;ZFP36;CCL20;ZC3H12A;CCL2;NR1D1;JAK2;SELE;NKX3-1
Integrated Stress Response Signaling (GO:0140467),0.00016307389944162027,0.00495879829800988,11.348958333333334,98.97775076630425,FOSL1;JUN;DDIT3;FOS;JUNB
Regulation Of Natural Killer Cell Activation (GO:0032814),0.00016691607174226805,0.00495879829800988,18.1191135734072,157.60040202989433,IL23A;IL12A;PRDM1;TICAM1
Negative Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046426),0.00016691607174226805,0.00495879829800988,18.1191135734072,157.60040202989433,SOCS3;SOCS1;BCL3;PARP14
Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900015),0.00017933574286071901,0.005254782931220246,8.187325905292479,70.62592705413279,GBP5;PER1;IL6;ZC3H12A;TICAM1;TNF
Regulation Of Vascular Wound Healing (GO:0061043),0.00019980801684252262,0.005774003271531015,40.67196132596685,346.4500124952021,FOXC2;TNFAIP3;TNF
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661),0.00020245453266237783,0.005774003271531015,7.987227393165297,67.93133085336373,JUN;IL6;NR4A3;STAT1;TNF;EREG
Positive Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001238),0.00022644203450268918,0.006373151471069108,10.474893162393162,87.91600419365436,CYLD;PMAIP1;BCL10;LTB;TNF
Regulation Of Epithelial Cell Proliferation (GO:0050678),0.000259337018261581,0.00720418028651327,5.2787958556916745,43.58903447865646,NR4A1;ZFP36;NR4A3;SIX4;FGF18;NR1D1;NKX3-1;EREG
Positive Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900017),0.00027265023249987193,0.007476908298938796,15.529085872576177,127.45218923620804,GBP5;IL6;TICAM1;TNF
Positive Regulation Of Nitrogen Compound Metabolic Process (GO:0051173),0.0003069823452057298,0.008311838435380456,9.725694444444445,78.66842227406386,NFKBIA;CSF1;KLF4;TNF;NFKB1
Regulation Of Glial Cell Proliferation (GO:0060251),0.00031536876306638504,0.008328071409864168,32.53591160220994,262.2969686448723,IL6;HES1;TNF
Positive Regulation Of NK T Cell Activation (GO:0051135),0.00031536876306638504,0.008328071409864168,32.53591160220994,262.2969686448723,IL23A;IL12A;JAK2
Regulation Of Neuroinflammatory Response (GO:0150077),0.0003404102456240231,0.008879725797436408,14.493074792243767,115.73240614211157,IL6;NR1D1;PTGS2;TNF
Regulation Of Interleukin-17 Production (GO:0032660),0.000354573010460133,0.009137730956315957,9.389846743295019,74.59854150518511,IL6;IL23A;DDIT3;IL12A;JAK2
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),0.0004058851344418134,0.010335575030607606,4.367554936859898,34.10815979181862,IL6;IFNL1;BCL3;NLRC5;CCL2;CPEB3;JAK2;KLF4;NFKB1
Response To Fibroblast Growth Factor (GO:0071774),0.0004194215958887163,0.010554621101246638,13.586565096952908,105.65774337618375,NR4A1;ZFP36;EGR3;IER2
Regulation Of Fat Cell Differentiation (GO:0045598),0.0004355614101041721,0.010833323909451444,5.626396648044692,43.54197901515662,ZFP36;BMP2;IL6;ZC3H12A;NR1D1;TNF;FOXO1
Negative Regulation Of Cell Differentiation (GO:0045596),0.00044134658213264543,0.010849849348700319,3.388973632599695,26.1821261211065,EFNA1;NFKBIA;BMP2;IL6;MEIS1;NOG;SPRY2;HES1;SPRY1;TNF;DLL1;FOXO1
Regulation Of Memory T Cell Differentiation (GO:0043380),0.0004666601870408739,0.010849849348700319,27.111878453038674,207.94564641105916,IFNL1;IL23A;PCK1
Type II Interferon-Mediated Signaling Pathway (GO:0060333),0.0004666601870408739,0.010849849348700319,27.111878453038674,207.94564641105916,STAT1;IRF1;JAK2
Negative Regulation Of Lipid Localization (GO:1905953),0.0004666601870408739,0.010849849348700319,27.111878453038674,207.94564641105916,NFKBIA;IL6;TNF
Negative Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042532),0.0004666601870408739,0.010849849348700319,27.111878453038674,207.94564641105916,SOCS3;SOCS1;PARP14
Regulation Of PERK-mediated Unfolded Protein Response (GO:1903897),0.0004666601870408739,0.010849849348700319,27.111878453038674,207.94564641105916,PPP1R15A;PPP1R15B;AGR2
Response To Cytokine (GO:0034097),0.00048515857960684144,0.011158647330957353,4.253947113521891,32.46201825733933,CSF3;IRAK2;STAT1;REL;JAK2;SELE;NFKB1;NFKB2;RELB
Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),0.0005311243281091777,0.011958683556058223,8.508246527777779,64.15655567044996,IL6;IFNL1;HES1;JAK2;TNF
Positive Regulation Of Receptor Signaling Pathway Via STAT (GO:1904894),0.0005311243281091777,0.011958683556058223,8.508246527777779,64.15655567044996,IL6;IFNL1;HES1;JAK2;TNF
Regulation Of Tumor Necrosis Factor Production (GO:0032680),0.0005447526601511049,0.012137770208991806,4.181417825176157,31.42410217932847,CLEC4A;IL1A;ZFP36;IL6;IL23A;ZC3H12A;TNFAIP3;JAK2;RASGRP1
Positive Regulation Of Gene Expression (GO:0010628),0.0005655925692837172,0.012472190780390425,2.41650913673598,18.069777119725867,EGR1;CSF1;NOG;RBPJ;TICAM1;KLF4;DLL1;TNF;MED26;EREG;IL1A;IL6;BMP2;ZC3H12A;FGF18;BCL3;AGR2;SPRY2;CPEB3;NKX3-1
