Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Cytokine Receptor Binding (GO:0005126),8.985249924590333e-05,0.002008845161711982,5.429559204840103,50.58905529356834,CSF3;IL6;IFNL1;CSF1;IL23A;IFNB1;LIF;IL12A;JAK2
Promoter-Specific Chromatin Binding (GO:1990841),0.00010678750095009103,0.0022282991864918996,9.098885793871867,83.20630495537785,FOXC2;EGR1;ZC3H4;STAT1;PRDM1;KLF4
Nuclear Glucocorticoid Receptor Binding (GO:0035259),0.00031536876306638504,0.006169401427486157,32.53591160220994,262.2969686448723,NR4A2;NR4A1;NR4A3
Tumor Necrosis Factor Receptor Binding (GO:0005164),0.0004666601870408739,0.00859203756139962,27.111878453038674,207.94564641105916,STAT1;TRAF1;TNF
Nuclear Receptor Binding (GO:0016922),0.0012377704151311489,0.02152345221866942,4.089740569124846,27.37853745641692,NR4A2;NR4A1;NR4A3;STAT1;NCOA7;PROX1;RERG;NKX3-1
Growth Factor Receptor Binding (GO:0070851),0.0018891330389442724,0.031120981115239855,4.294206264515724,26.931704030859137,CSF3;IL6;AGR2;IL12A;FRS2;JAK2;EREG
Receptor Ligand Activity (GO:0048018),0.0023085018681741573,0.03612805423692556,2.527859511466069,15.347030721209,SEMA4A;CSF3;CSF1;GDF15;IFNB1;LIF;TNF;DLL1;EREG;IL1A;BMP2;IL6;FGF18;IL12A
Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.002644480828631551,0.03941535711246073,2.5904458992094863,15.37502307594486,NGFR;EGR2;JUN;CDKN1B;DTX3L;STAT1;STAT2;UBE2L6;BCL10;TRAF1;FOXO1;NFKBIA;PER1
Ubiquitin-Protein Transferase Activator Activity (GO:0097027),0.002829383502983494,0.04025441074699243,12.508712282192946,73.39732645874834,CDKN1B;TICAM1;N4BP3
Phosphatase Activator Activity (GO:0019211),0.003389579926121341,0.04612776160330346,11.6146408839779,66.05303508674771,PPP1R15A;BMP2;FRS2
